name,repository
slideshell,https://codeberg.org/blau_araujo/slideshell
md2term,https://codeberg.org/blau_araujo/md2term
gimme,https://github.com/travis-ci/gimme
neofetch,https://github.com/dylanaraps/neofetch
pfetch,https://github.com/dylanaraps/pfetch
bash-completion,https://github.com/scop/bash-completion
i3blocks-contrib,https://github.com/vivien/i3blocks-contrib
basher,https://github.com/basherpm/basher
liquidprompt,https://github.com/nojhan/liquidprompt
enhancd,https://github.com/b4b4r07/enhancd
bashcaster,https://github.com/alphapapa/bashcaster
magit.sh,https://github.com/alphapapa/magit.sh
makem.sh,https://github.com/alphapapa/makem.sh
mangle,https://github.com/alphapapa/mangle
bucket,https://github.com/alphapapa/bucket
with-emacs,https://github.com/alphapapa/with-emacs.sh
debian-live-build,https://salsa.debian.org/live-team/live-build
